"Country or Area","Year(s)","Variant","Value"
"American Samoa","2060-2065","Medium",""
"American Samoa","2055-2060","Medium",""
"American Samoa","2050-2055","Medium",""
"American Samoa","2045-2050","Medium",""
"American Samoa","2040-2045","Medium",""
"American Samoa","2035-2040","Medium",""
"American Samoa","2030-2035","Medium",""
"American Samoa","2025-2030","Medium",""
"American Samoa","2020-2025","Medium",""
"American Samoa","2015-2020","Medium",""
"American Samoa","2010-2015","Medium",""
"American Samoa","2005-2010","Medium",""
"American Samoa","2000-2005","Medium",""
"American Samoa","1995-2000","Medium",""
"American Samoa","1990-1995","Medium",""
"American Samoa","1985-1990","Medium",""
"American Samoa","1980-1985","Medium",""
"American Samoa","1975-1980","Medium",""
"American Samoa","1970-1975","Medium",""
"American Samoa","1965-1970","Medium",""
"American Samoa","1960-1965","Medium",""
"American Samoa","1955-1960","Medium",""
"American Samoa","1950-1955","Medium",""
"Andorra","2095-2100","Medium",""
"Andorra","2090-2095","Medium",""
"Andorra","2085-2090","Medium",""
"Andorra","2080-2085","Medium",""
"Andorra","2075-2080","Medium",""
"Andorra","2070-2075","Medium",""
"Andorra","2065-2070","Medium",""
"Andorra","2060-2065","Medium",""
"Andorra","2055-2060","Medium",""
"Andorra","2050-2055","Medium",""
"Andorra","2045-2050","Medium",""
"Andorra","2040-2045","Medium",""
"Andorra","2035-2040","Medium",""
"Andorra","2030-2035","Medium",""
"Andorra","2025-2030","Medium",""
"Andorra","2020-2025","Medium",""
"Andorra","2015-2020","Medium",""
"Andorra","2010-2015","Medium",""
"Andorra","2005-2010","Medium",""
"Andorra","2000-2005","Medium",""
"Andorra","1995-2000","Medium",""
"Andorra","1990-1995","Medium",""
"Andorra","1985-1990","Medium",""
"Andorra","1980-1985","Medium",""
"Andorra","1975-1980","Medium",""
"Andorra","1970-1975","Medium",""
"Andorra","1965-1970","Medium",""
"Andorra","1960-1965","Medium",""
"Andorra","1955-1960","Medium",""
"Andorra","1950-1955","Medium",""
"Angola","2095-2100","Medium","16.976"
"Angola","2090-2095","Medium","17.919"
"Angola","2085-2090","Medium","18.957"
"Angola","2080-2085","Medium","20.153"
"Angola","2075-2080","Medium","21.48"
"Angola","2070-2075","Medium","23.084"
"Angola","2065-2070","Medium","25.007"
"Angola","2060-2065","Medium","27.24"
"Angola","2055-2060","Medium","29.975"
"Angola","2050-2055","Medium","33.22"
"Angola","2045-2050","Medium","37.084"
"Angola","2040-2045","Medium","41.627"
"Angola","2035-2040","Medium","47.042"
"Angola","2030-2035","Medium","53.626"
"Angola","2025-2030","Medium","61.206"
"Angola","2020-2025","Medium","70.339"
"Angola","2015-2020","Medium","80.889"
"Angola","2010-2015","Medium","106.391"
"Angola","2005-2010","Medium","148.491"
"Angola","2000-2005","Medium","192.246"
"Angola","1995-2000","Medium","217.635"
"Angola","1990-1995","Medium","223.319"
"Angola","1985-1990","Medium","224.003"
"Angola","1980-1985","Medium","230.608"
"Angola","1975-1980","Medium","242.114"
"Angola","1970-1975","Medium","258.637"
"Angola","1965-1970","Medium","278.279"
"Angola","1960-1965","Medium","296.9"
"Angola","1955-1960","Medium","312.28"
"Angola","1950-1955","Medium","323.923"
"Anguilla","2095-2100","Medium",""
"Anguilla","2090-2095","Medium",""
"Anguilla","2085-2090","Medium",""
"Anguilla","2080-2085","Medium",""
"Anguilla","2075-2080","Medium",""
"Anguilla","2070-2075","Medium",""
"Anguilla","2065-2070","Medium",""
"Anguilla","2060-2065","Medium",""
"Anguilla","2055-2060","Medium",""
"Anguilla","2050-2055","Medium",""
"Anguilla","2045-2050","Medium",""
"Anguilla","2040-2045","Medium",""
"Anguilla","2035-2040","Medium",""
"Anguilla","2030-2035","Medium",""
"Anguilla","2025-2030","Medium",""
"Anguilla","2020-2025","Medium",""
"Anguilla","2015-2020","Medium",""
"Anguilla","2010-2015","Medium",""
"Anguilla","2005-2010","Medium",""
"Anguilla","2000-2005","Medium",""
"Anguilla","1995-2000","Medium",""
"Anguilla","1990-1995","Medium",""
"Anguilla","1985-1990","Medium",""
"Anguilla","1980-1985","Medium",""
"Anguilla","1975-1980","Medium",""
"Anguilla","1970-1975","Medium",""
"Anguilla","1965-1970","Medium",""
"Anguilla","1960-1965","Medium",""
"Anguilla","1955-1960","Medium",""
"Anguilla","1950-1955","Medium",""
"Antigua and Barbuda","2095-2100","Medium","2.057"
"Antigua and Barbuda","2090-2095","Medium","2.163"
"Antigua and Barbuda","2085-2090","Medium","2.276"
"Antigua and Barbuda","2080-2085","Medium","2.404"
"Antigua and Barbuda","2075-2080","Medium","2.551"
"Antigua and Barbuda","2070-2075","Medium","2.722"
"Antigua and Barbuda","2065-2070","Medium","2.92"
"Antigua and Barbuda","2060-2065","Medium","3.146"
"Antigua and Barbuda","2055-2060","Medium","3.404"
"Antigua and Barbuda","2050-2055","Medium","3.69"
"Antigua and Barbuda","2045-2050","Medium","4.019"
"Antigua and Barbuda","2040-2045","Medium","4.384"
"Antigua and Barbuda","2035-2040","Medium","4.795"
"Antigua and Barbuda","2030-2035","Medium","5.264"
"Antigua and Barbuda","2025-2030","Medium","5.801"
"Antigua and Barbuda","2020-2025","Medium","6.426"
"Antigua and Barbuda","2015-2020","Medium","7.251"
"Antigua and Barbuda","2010-2015","Medium","8.868"
"Antigua and Barbuda","2005-2010","Medium","10.889"
"Antigua and Barbuda","2000-2005","Medium","13.345"
"Antigua and Barbuda","1995-2000","Medium","17.016"
"Antigua and Barbuda","1990-1995","Medium","22.695"
"Antigua and Barbuda","1985-1990","Medium","30.618"
"Antigua and Barbuda","1980-1985","Medium","38.043"
"Antigua and Barbuda","1975-1980","Medium","43.112"
"Antigua and Barbuda","1970-1975","Medium","48.179"
"Antigua and Barbuda","1965-1970","Medium","53.237"
"Antigua and Barbuda","1960-1965","Medium","66.222"
"Antigua and Barbuda","1955-1960","Medium","87.157"
"Antigua and Barbuda","1950-1955","Medium","108.378"
"Argentina","2095-2100","Medium","3.067"
"Argentina","2090-2095","Medium","3.24"
"Argentina","2085-2090","Medium","3.423"
"Argentina","2080-2085","Medium","3.654"
"Argentina","2075-2080","Medium","3.904"
"Argentina","2070-2075","Medium","4.143"
"Argentina","2065-2070","Medium","4.447"
"Argentina","2060-2065","Medium","4.778"
"Argentina","2055-2060","Medium","5.119"
"Argentina","2050-2055","Medium","5.523"
"Argentina","2045-2050","Medium","6.069"
"Argentina","2040-2045","Medium","6.656"
"Argentina","2035-2040","Medium","7.398"
"Argentina","2030-2035","Medium","8.255"
"Argentina","2025-2030","Medium","9.228"
"Argentina","2020-2025","Medium","10.405"
"Argentina","2015-2020","Medium","11.862"
"Argentina","2010-2015","Medium","14.017"
"Argentina","2005-2010","Medium","16.558"
"Argentina","2000-2005","Medium","19.557"
"Argentina","1995-2000","Medium","23.092"
"Argentina","1990-1995","Medium","27.244"
"Argentina","1985-1990","Medium","31.923"
"Argentina","1980-1985","Medium","37.417"
"Argentina","1975-1980","Medium","46.189"
"Argentina","1970-1975","Medium","57.544"
"Argentina","1965-1970","Medium","69.137"
"Argentina","1960-1965","Medium","72.846"
"Argentina","1955-1960","Medium","75.609"
"Argentina","1950-1955","Medium","83.587"
"Armenia","2095-2100","Medium","3.629"
"Armenia","2090-2095","Medium","3.795"
"Armenia","2085-2090","Medium","3.93"
"Armenia","2080-2085","Medium","4.133"
"Armenia","2075-2080","Medium","4.362"
"Armenia","2070-2075","Medium","4.586"
"Armenia","2065-2070","Medium","4.896"
"Armenia","2060-2065","Medium","5.257"
"Armenia","2055-2060","Medium","5.649"
"Armenia","2050-2055","Medium","6.177"
"Armenia","2045-2050","Medium","6.773"
"Armenia","2040-2045","Medium","7.401"
"Armenia","2035-2040","Medium","8.215"
"Armenia","2030-2035","Medium","9.155"
"Armenia","2025-2030","Medium","10.196"
"Armenia","2020-2025","Medium","11.475"
"Armenia","2015-2020","Medium","13.173"
"Armenia","2010-2015","Medium","16.174"
"Armenia","2005-2010","Medium","23.711"
"Armenia","2000-2005","Medium","30.289"
"Armenia","1995-2000","Medium","40.113"
"Armenia","1990-1995","Medium","52.675"
"Armenia","1985-1990","Medium","56.223"
"Armenia","1980-1985","Medium","57.813"
"Armenia","1975-1980","Medium","62.983"
"Armenia","1970-1975","Medium","67.592"
"Armenia","1965-1970","Medium","73.951"
"Armenia","1960-1965","Medium","80.996"
"Armenia","1955-1960","Medium","88.717"
"Armenia","1950-1955","Medium","96.072"
"Aruba","2095-2100","Medium","4.784"
"Aruba","2090-2095","Medium","5.084"
"Aruba","2085-2090","Medium","5.419"
"Aruba","2080-2085","Medium","5.782"
"Aruba","2075-2080","Medium","6.184"
"Aruba","2070-2075","Medium","6.622"
"Aruba","2065-2070","Medium","7.11"
"Aruba","2060-2065","Medium","7.65"
"Aruba","2055-2060","Medium","8.25"
"Aruba","2050-2055","Medium","8.895"
"Aruba","2045-2050","Medium","9.565"
"Aruba","2040-2045","Medium","10.319"
"Aruba","2035-2040","Medium","11.207"
"Aruba","2030-2035","Medium","12.167"
"Aruba","2025-2030","Medium","13.185"
"Aruba","2020-2025","Medium","14.45"
"Aruba","2015-2020","Medium","15.784"
"Aruba","2010-2015","Medium","17.175"
"Aruba","2005-2010","Medium","18.843"
"Aruba","2000-2005","Medium","20.786"
"Aruba","1995-2000","Medium","21.453"
"Aruba","1990-1995","Medium","22.276"
"Aruba","1985-1990","Medium","22.82"
"Aruba","1980-1985","Medium","24.115"
"Aruba","1975-1980","Medium","29.242"
"Aruba","1970-1975","Medium","35.315"
"Aruba","1965-1970","Medium","44.093"
"Aruba","1960-1965","Medium","53.697"
"Aruba","1955-1960","Medium","68.002"
"Aruba","1950-1955","Medium","95.079"
"Asia","2095-2100","Medium","6.179"
"Asia","2090-2095","Medium","6.653"
"Asia","2085-2090","Medium","7.179"
"Asia","2080-2085","Medium","7.774"
"Asia","2075-2080","Medium","8.445"
"Asia","2070-2075","Medium","9.206"
"Asia","2065-2070","Medium","10.052"
"Asia","2060-2065","Medium","11.01"
"Asia","2055-2060","Medium","12.069"
"Asia","2050-2055","Medium","13.316"
"Asia","2045-2050","Medium","14.743"
"Asia","2040-2045","Medium","16.406"
"Asia","2035-2040","Medium","18.374"
"Asia","2030-2035","Medium","20.706"
"Asia","2025-2030","Medium","23.543"
"Asia","2020-2025","Medium","26.863"
"Asia","2015-2020","Medium","30.736"
"Asia","2010-2015","Medium","36.718"
"Asia","2005-2010","Medium","47.268"
"Asia","2000-2005","Medium","59.966"
"Asia","1995-2000","Medium","73.067"
"Asia","1990-1995","Medium","84.28"
"Asia","1985-1990","Medium","92.823"
"Asia","1980-1985","Medium","108.902"
"Asia","1975-1980","Medium","127.364"
"Asia","1970-1975","Medium","143.779"
"Asia","1965-1970","Medium","167.399"
"Asia","1960-1965","Medium","204.797"
"Asia","1955-1960","Medium","216.932"
"Asia","1950-1955","Medium","234.32"
"Australia","2095-2100","Medium","0.538"
"Australia","2090-2095","Medium","0.623"
"Australia","2085-2090","Medium","0.716"
"Australia","2080-2085","Medium","0.822"
"Australia","2075-2080","Medium","0.934"
"Australia","2070-2075","Medium","1.058"
"Australia","2065-2070","Medium","1.193"
"Australia","2060-2065","Medium","1.344"
"Australia","2055-2060","Medium","1.505"
"Australia","2050-2055","Medium","1.682"
"Australia","2045-2050","Medium","1.876"
"Australia","2040-2045","Medium","2.09"
"Australia","2035-2040","Medium","2.325"
"Australia","2030-2035","Medium","2.587"
"Australia","2025-2030","Medium","2.894"
"Australia","2020-2025","Medium","3.227"
"Australia","2015-2020","Medium","3.677"
"Australia","2010-2015","Medium","4.307"
"Australia","2005-2010","Medium","5.233"
"Australia","2000-2005","Medium","5.974"
"Australia","1995-2000","Medium","6.778"
"Australia","1990-1995","Medium","7.968"
"Australia","1985-1990","Medium","10.399"
"Australia","1980-1985","Medium","12.08"
"Australia","1975-1980","Medium","14.787"
"Australia","1970-1975","Medium","19.732"
"Australia","1965-1970","Medium","21.845"
"Australia","1960-1965","Medium","23.501"
"Australia","1955-1960","Medium","26.294"
"Australia","1950-1955","Medium","29.894"
"Australia/New Zealand","2095-2100","Medium","0.562"
"Australia/New Zealand","2090-2095","Medium","0.651"
"Australia/New Zealand","2085-2090","Medium","0.748"
"Australia/New Zealand","2080-2085","Medium","0.859"
"Australia/New Zealand","2075-2080","Medium","0.976"
"Australia/New Zealand","2070-2075","Medium","1.105"
"Australia/New Zealand","2065-2070","Medium","1.247"
"Australia/New Zealand","2060-2065","Medium","1.403"
"Australia/New Zealand","2055-2060","Medium","1.571"
"Australia/New Zealand","2050-2055","Medium","1.754"
"Australia/New Zealand","2045-2050","Medium","1.956"
"Australia/New Zealand","2040-2045","Medium","2.181"
"Australia/New Zealand","2035-2040","Medium","2.431"
"Australia/New Zealand","2030-2035","Medium","2.709"
"Australia/New Zealand","2025-2030","Medium","3.038"
"Australia/New Zealand","2020-2025","Medium","3.399"
"Australia/New Zealand","2015-2020","Medium","3.818"
"Australia/New Zealand","2010-2015","Medium","4.467"
"Australia/New Zealand","2005-2010","Medium","5.396"
"Australia/New Zealand","2000-2005","Medium","6.105"
"Australia/New Zealand","1995-2000","Medium","6.953"
"Australia/New Zealand","1990-1995","Medium","8.179"
"Australia/New Zealand","1985-1990","Medium","10.831"
"Australia/New Zealand","1980-1985","Medium","12.484"
"Australia/New Zealand","1975-1980","Medium","15.141"
"Australia/New Zealand","1970-1975","Medium","19.717"
"Australia/New Zealand","1965-1970","Medium","21.889"
"Australia/New Zealand","1960-1965","Medium","23.859"
"Australia/New Zealand","1955-1960","Medium","27.003"
"Australia/New Zealand","1950-1955","Medium","30.602"
"Austria","2095-2100","Medium","0.806"
"Austria","2090-2095","Medium","0.866"
"Austria","2085-2090","Medium","0.928"
"Austria","2080-2085","Medium","0.995"
"Austria","2075-2080","Medium","1.063"
"Austria","2070-2075","Medium","1.139"
"Austria","2065-2070","Medium","1.219"
"Austria","2060-2065","Medium","1.309"
"Austria","2055-2060","Medium","1.406"
"Austria","2050-2055","Medium","1.513"
"Austria","2045-2050","Medium","1.633"
"Austria","2040-2045","Medium","1.775"
"Austria","2035-2040","Medium","1.937"
"Austria","2030-2035","Medium","2.14"
"Austria","2025-2030","Medium","2.435"
"Austria","2020-2025","Medium","2.785"
"Austria","2015-2020","Medium","3.712"
"Austria","2010-2015","Medium","3.968"
"Austria","2005-2010","Medium","4.556"
"Austria","2000-2005","Medium","5.336"
"Austria","1995-2000","Medium","5.868"
"Austria","1990-1995","Medium","8.319"
"Austria","1985-1990","Medium","10.833"
"Austria","1980-1985","Medium","14.38"
"Austria","1975-1980","Medium","19.054"
"Austria","1970-1975","Medium","27.249"
"Austria","1965-1970","Medium","30.219"
"Austria","1960-1965","Medium","36.799"
"Austria","1955-1960","Medium","48.635"
"Austria","1950-1955","Medium","61.286"
"Azerbaijan","2095-2100","Medium","5.489"
"Azerbaijan","2090-2095","Medium","5.883"
"Azerbaijan","2085-2090","Medium","6.331"
"Azerbaijan","2080-2085","Medium","6.845"
"Azerbaijan","2075-2080","Medium","7.457"
"Azerbaijan","2070-2075","Medium","8.149"
"Azerbaijan","2065-2070","Medium","8.949"
"Azerbaijan","2060-2065","Medium","9.851"
"Azerbaijan","2055-2060","Medium","10.888"
"Azerbaijan","2050-2055","Medium","12.067"
"Azerbaijan","2045-2050","Medium","13.406"
"Azerbaijan","2040-2045","Medium","14.905"
"Azerbaijan","2035-2040","Medium","16.598"
"Azerbaijan","2030-2035","Medium","18.494"
"Azerbaijan","2025-2030","Medium","20.582"
"Azerbaijan","2020-2025","Medium","22.766"
"Azerbaijan","2015-2020","Medium","25.233"
"Azerbaijan","2010-2015","Medium","35.844"
"Azerbaijan","2005-2010","Medium","47.947"
"Azerbaijan","2000-2005","Medium","65.533"
"Azerbaijan","1995-2000","Medium","79.299"
"Azerbaijan","1990-1995","Medium","99.799"
"Azerbaijan","1985-1990","Medium","111.069"
"Azerbaijan","1980-1985","Medium","119.48"
"Azerbaijan","1975-1980","Medium","123.037"
"Azerbaijan","1970-1975","Medium","125.395"
"Azerbaijan","1965-1970","Medium","135.035"
"Azerbaijan","1960-1965","Medium","147.481"
"Azerbaijan","1955-1960","Medium","160.324"
"Azerbaijan","1950-1955","Medium","174.023"
"Bahamas","2095-2100","Medium","2.529"
"Bahamas","2090-2095","Medium","2.643"
"Bahamas","2085-2090","Medium","2.772"
"Bahamas","2080-2085","Medium","2.91"
"Bahamas","2075-2080","Medium","3.067"
"Bahamas","2070-2075","Medium","3.23"
"Bahamas","2065-2070","Medium","3.414"
"Bahamas","2060-2065","Medium","3.631"
"Bahamas","2055-2060","Medium","3.861"
"Bahamas","2050-2055","Medium","4.118"
"Bahamas","2045-2050","Medium","4.401"
"Bahamas","2040-2045","Medium","4.72"
"Bahamas","2035-2040","Medium","5.079"
"Bahamas","2030-2035","Medium","5.471"
"Bahamas","2025-2030","Medium","5.915"
"Bahamas","2020-2025","Medium","6.405"
"Bahamas","2015-2020","Medium","7.194"
"Bahamas","2010-2015","Medium","9.714"
"Bahamas","2005-2010","Medium","13.58"
"Bahamas","2000-2005","Medium","15.706"
"Bahamas","1995-2000","Medium","17.025"
"Bahamas","1990-1995","Medium","21.094"
"Bahamas","1985-1990","Medium","25.925"
"Bahamas","1980-1985","Medium","28.779"
"Bahamas","1975-1980","Medium","31.2"
"Bahamas","1970-1975","Medium","31.715"
"Bahamas","1965-1970","Medium","30.335"
"Bahamas","1960-1965","Medium","34.413"
"Bahamas","1955-1960","Medium","39.892"
"Bahamas","1950-1955","Medium","46.005"
"Bahrain","2095-2100","Medium","2.059"
"Bahrain","2090-2095","Medium","2.162"
"Bahrain","2085-2090","Medium","2.273"
"Bahrain","2080-2085","Medium","2.394"
"Bahrain","2075-2080","Medium","2.517"
"Bahrain","2070-2075","Medium","2.652"
"Bahrain","2065-2070","Medium","2.834"
"Bahrain","2060-2065","Medium","3.039"
"Bahrain","2055-2060","Medium","3.292"
"Bahrain","2050-2055","Medium","3.58"
"Bahrain","2045-2050","Medium","3.916"
"Bahrain","2040-2045","Medium","4.305"
"Bahrain","2035-2040","Medium","4.762"
"Bahrain","2030-2035","Medium","5.292"
"Bahrain","2025-2030","Medium","5.941"
"Bahrain","2020-2025","Medium","6.587"
"Bahrain","2015-2020","Medium","7.625"
"Bahrain","2010-2015","Medium","8.796"
"Bahrain","2005-2010","Medium","10.429"
"Bahrain","2000-2005","Medium","12.34"
"Bahrain","1995-2000","Medium","14.919"
"Bahrain","1990-1995","Medium","18.266"
"Bahrain","1985-1990","Medium","21.311"
"Bahrain","1980-1985","Medium","26.712"
"Bahrain","1975-1980","Medium","40.306"
"Bahrain","1970-1975","Medium","64.287"
"Bahrain","1965-1970","Medium","102.331"
"Bahrain","1960-1965","Medium","159.786"
"Bahrain","1955-1960","Medium","227.325"
"Bahrain","1950-1955","Medium","267.449"
"Bangladesh","2095-2100","Medium","4.542"
"Bangladesh","2090-2095","Medium","4.869"
"Bangladesh","2085-2090","Medium","5.224"
"Bangladesh","2080-2085","Medium","5.612"
"Bangladesh","2075-2080","Medium","6.043"
"Bangladesh","2070-2075","Medium","6.539"
"Bangladesh","2065-2070","Medium","7.101"
"Bangladesh","2060-2065","Medium","7.894"
"Bangladesh","2055-2060","Medium","8.812"
"Bangladesh","2050-2055","Medium","9.921"
"Bangladesh","2045-2050","Medium","11.3"
"Bangladesh","2040-2045","Medium","12.98"
"Bangladesh","2035-2040","Medium","15.093"
"Bangladesh","2030-2035","Medium","17.808"
"Bangladesh","2025-2030","Medium","21.346"
"Bangladesh","2020-2025","Medium","26.133"
"Bangladesh","2015-2020","Medium","32.402"
"Bangladesh","2010-2015","Medium","41.007"
"Bangladesh","2005-2010","Medium","55.564"
"Bangladesh","2000-2005","Medium","74.115"
"Bangladesh","1995-2000","Medium","97.516"
"Bangladesh","1990-1995","Medium","125.684"
"Bangladesh","1985-1990","Medium","155.602"
"Bangladesh","1980-1985","Medium","183.968"
"Bangladesh","1975-1980","Medium","206.574"
"Bangladesh","1970-1975","Medium","250.672"
"Bangladesh","1965-1970","Medium","224.51"
"Bangladesh","1960-1965","Medium","241.393"
"Bangladesh","1955-1960","Medium","272.89"
"Bangladesh","1950-1955","Medium","314.705"
"Barbados","2095-2100","Medium","3.104"
"Barbados","2090-2095","Medium","3.315"
"Barbados","2085-2090","Medium","3.544"
"Barbados","2080-2085","Medium","3.79"
"Barbados","2075-2080","Medium","4.048"
"Barbados","2070-2075","Medium","4.338"
"Barbados","2065-2070","Medium","4.643"
"Barbados","2060-2065","Medium","4.995"
"Barbados","2055-2060","Medium","5.4"
"Barbados","2050-2055","Medium","5.881"
"Barbados","2045-2050","Medium","6.442"
"Barbados","2040-2045","Medium","7.108"
"Barbados","2035-2040","Medium","7.883"
"Barbados","2030-2035","Medium","8.757"
"Barbados","2025-2030","Medium","9.842"
"Barbados","2020-2025","Medium","10.984"
"Barbados","2015-2020","Medium","12.101"
"Barbados","2010-2015","Medium","13.802"
"Barbados","2005-2010","Medium","15.133"
"Barbados","2000-2005","Medium","15.59"
"Barbados","1995-2000","Medium","14.827"
"Barbados","1990-1995","Medium","16.165"
"Barbados","1985-1990","Medium","19.967"
"Barbados","1980-1985","Medium","24.339"
"Barbados","1975-1980","Medium","31.953"
"Barbados","1970-1975","Medium","42.221"
"Barbados","1965-1970","Medium","54.289"
"Barbados","1960-1965","Medium","71.191"
"Barbados","1955-1960","Medium","108.086"
"Barbados","1950-1955","Medium","178.948"
"Belarus","2095-2100","Medium","0.943"
"Belarus","2090-2095","Medium","0.985"
"Belarus","2085-2090","Medium","1.031"
"Belarus","2080-2085","Medium","1.082"
"Belarus","2075-2080","Medium","1.139"
"Belarus","2070-2075","Medium","1.208"
"Belarus","2065-2070","Medium","1.284"
"Belarus","2060-2065","Medium","1.375"
"Belarus","2055-2060","Medium","1.494"
"Belarus","2050-2055","Medium","1.631"
"Belarus","2045-2050","Medium","1.796"
"Belarus","2040-2045","Medium","1.988"
"Belarus","2035-2040","Medium","2.212"
"Belarus","2030-2035","Medium","2.474"
"Belarus","2025-2030","Medium","2.808"
"Belarus","2020-2025","Medium","3.199"
"Belarus","2015-2020","Medium","3.842"
"Belarus","2010-2015","Medium","4.465"
"Belarus","2005-2010","Medium","8.107"
"Belarus","2000-2005","Medium","12.167"
"Belarus","1995-2000","Medium","18.033"
"Belarus","1990-1995","Medium","18.176"
"Belarus","1985-1990","Medium","19.76"
"Belarus","1980-1985","Medium","23.021"
